Damn,Kendrick Lamar,2017
Lemonade,Beyoncé,2016
Blonde,Frank Ocean,2016
Ctrl,SZA,2017
The Life of Pablo,Kanye West,2016
Uma Nova História,Wesley Safadao,2012
Paradise,Wesley Safadao,2014
